match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000016,matchup_0001,16,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,52,5,variable_2_4,1,57,1,variable_2_4,1,57,1,loss
match_000016,matchup_0001,16,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,57,1,fixed_2p,1,52,5,fixed_2p,1,52,5,win
match_000017,matchup_0001,17,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,49,2,fixed_2p,1,62,4,fixed_2p,1,62,4,loss
match_000017,matchup_0001,17,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,62,4,variable_2_4,1,49,2,variable_2_4,1,49,2,win
match_000018,matchup_0001,18,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,54,4,variable_2_4,1,48,3,variable_2_4,1,48,3,win
match_000018,matchup_0001,18,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,48,3,fixed_2p,1,54,4,fixed_2p,1,54,4,loss
match_000019,matchup_0001,19,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,56,2,fixed_2p,1,56,3,fixed_2p,1,56,3,loss
match_000019,matchup_0001,19,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,56,3,variable_2_4,1,56,2,variable_2_4,1,56,2,win
match_000020,matchup_0001,20,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,75,2,variable_2_4,1,61,1,variable_2_4,1,61,1,win
match_000020,matchup_0001,20,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,61,1,fixed_2p,1,75,2,fixed_2p,1,75,2,loss
match_000021,matchup_0001,21,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,69,3,variable_2_4,1,64,3,variable_2_4,1,64,3,win
match_000021,matchup_0001,21,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,64,3,fixed_2p,1,69,3,fixed_2p,1,69,3,loss
match_000022,matchup_0001,22,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,56,5,variable_2_4,1,63,2,variable_2_4,1,63,2,loss
match_000022,matchup_0001,22,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,63,2,fixed_2p,1,56,5,fixed_2p,1,56,5,win
match_000023,matchup_0001,23,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,47,4,variable_2_4,1,55,3,variable_2_4,1,55,3,loss
match_000023,matchup_0001,23,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,55,3,fixed_2p,1,47,4,fixed_2p,1,47,4,win
match_000024,matchup_0001,24,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,55,6,variable_2_4,1,57,2,variable_2_4,1,57,2,loss
match_000024,matchup_0001,24,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,57,2,fixed_2p,1,55,6,fixed_2p,1,55,6,win
match_000025,matchup_0001,25,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,44,3,fixed_2p,1,56,3,fixed_2p,1,56,3,loss
match_000025,matchup_0001,25,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,56,3,variable_2_4,1,44,3,variable_2_4,1,44,3,win
match_000026,matchup_0001,26,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,56,4,variable_2_4,1,59,3,variable_2_4,1,59,3,loss
match_000026,matchup_0001,26,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,59,3,fixed_2p,1,56,4,fixed_2p,1,56,4,win
match_000027,matchup_0001,27,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,53,5,variable_2_4,1,65,2,variable_2_4,1,65,2,loss
match_000027,matchup_0001,27,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,65,2,fixed_2p,1,53,5,fixed_2p,1,53,5,win
match_000028,matchup_0001,28,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,67,2,fixed_2p,1,60,4,fixed_2p,1,60,4,win
match_000028,matchup_0001,28,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,60,4,variable_2_4,1,67,2,variable_2_4,1,67,2,loss
match_000029,matchup_0001,29,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,51,2,fixed_2p,1,60,3,fixed_2p,1,60,3,loss
match_000029,matchup_0001,29,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,60,3,variable_2_4,1,51,2,variable_2_4,1,51,2,win
match_000030,matchup_0001,30,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,48,3,variable_2_4,1,46,3,variable_2_4,1,46,3,win
match_000030,matchup_0001,30,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,46,3,fixed_2p,1,48,3,fixed_2p,1,48,3,loss
match_000031,matchup_0001,31,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,47,6,variable_2_4,1,53,0,variable_2_4,1,53,0,loss
match_000031,matchup_0001,31,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,53,0,fixed_2p,1,47,6,fixed_2p,1,47,6,win
match_000032,matchup_0001,32,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,52,4,variable_2_4,1,50,1,variable_2_4,1,50,1,win
match_000032,matchup_0001,32,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,50,1,fixed_2p,1,52,4,fixed_2p,1,52,4,loss
match_000033,matchup_0001,33,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,52,2,fixed_2p,1,51,5,fixed_2p,1,51,5,win
match_000033,matchup_0001,33,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,51,5,variable_2_4,1,52,2,variable_2_4,1,52,2,loss
match_000034,matchup_0001,34,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,69,1,fixed_2p,1,56,4,fixed_2p,1,56,4,win
match_000034,matchup_0001,34,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,56,4,variable_2_4,1,69,1,variable_2_4,1,69,1,loss
match_000035,matchup_0001,35,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,59,6,variable_2_4,1,57,1,variable_2_4,1,57,1,win
match_000035,matchup_0001,35,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,57,1,fixed_2p,1,59,6,fixed_2p,1,59,6,loss
match_000036,matchup_0001,36,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,51,3,variable_2_4,1,49,1,variable_2_4,1,49,1,win
match_000036,matchup_0001,36,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,49,1,fixed_2p,1,51,3,fixed_2p,1,51,3,loss
match_000037,matchup_0001,37,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,55,1,fixed_2p,1,49,1,fixed_2p,1,49,1,win
match_000037,matchup_0001,37,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,49,1,variable_2_4,1,55,1,variable_2_4,1,55,1,loss
match_000038,matchup_0001,38,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,58,1,fixed_2p,1,65,2,fixed_2p,1,65,2,loss
match_000038,matchup_0001,38,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,65,2,variable_2_4,1,58,1,variable_2_4,1,58,1,win
match_000039,matchup_0001,39,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,51,1,fixed_2p,1,54,4,fixed_2p,1,54,4,loss
match_000039,matchup_0001,39,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,54,4,variable_2_4,1,51,1,variable_2_4,1,51,1,win
match_000040,matchup_0001,40,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,63,2,fixed_2p,1,57,2,fixed_2p,1,57,2,win
match_000040,matchup_0001,40,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,57,2,variable_2_4,1,63,2,variable_2_4,1,63,2,loss
match_000041,matchup_0001,41,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,56,6,variable_2_4,1,54,1,variable_2_4,1,54,1,win
match_000041,matchup_0001,41,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,54,1,fixed_2p,1,56,6,fixed_2p,1,56,6,loss
match_000042,matchup_0001,42,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,53,3,variable_2_4,1,49,2,variable_2_4,1,49,2,win
match_000042,matchup_0001,42,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,49,2,fixed_2p,1,53,3,fixed_2p,1,53,3,loss
match_000043,matchup_0001,43,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,53,0,fixed_2p,1,40,3,fixed_2p,1,40,3,win
match_000043,matchup_0001,43,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,40,3,variable_2_4,1,53,0,variable_2_4,1,53,0,loss
match_000044,matchup_0001,44,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,68,2,fixed_2p,1,63,4,fixed_2p,1,63,4,win
match_000044,matchup_0001,44,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,63,4,variable_2_4,1,68,2,variable_2_4,1,68,2,loss
match_000045,matchup_0001,45,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,45,5,variable_2_4,1,51,1,variable_2_4,1,51,1,loss
match_000045,matchup_0001,45,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,51,1,fixed_2p,1,45,5,fixed_2p,1,45,5,win
match_000046,matchup_0001,46,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,58,4,variable_2_4,1,64,3,variable_2_4,1,64,3,loss
match_000046,matchup_0001,46,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,64,3,fixed_2p,1,58,4,fixed_2p,1,58,4,win
match_000047,matchup_0001,47,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,54,1,fixed_2p,1,60,3,fixed_2p,1,60,3,loss
match_000047,matchup_0001,47,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,60,3,variable_2_4,1,54,1,variable_2_4,1,54,1,win
match_000048,matchup_0001,48,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,56,0,fixed_2p,1,51,7,fixed_2p,1,51,7,win
match_000048,matchup_0001,48,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,51,7,variable_2_4,1,56,0,variable_2_4,1,56,0,loss
match_000049,matchup_0001,49,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,51,2,fixed_2p,1,65,2,fixed_2p,1,65,2,loss
match_000049,matchup_0001,49,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,65,2,variable_2_4,1,51,2,variable_2_4,1,51,2,win
match_000050,matchup_0001,50,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,49,3,variable_2_4,1,62,4,variable_2_4,1,62,4,loss
match_000050,matchup_0001,50,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,62,4,fixed_2p,1,49,3,fixed_2p,1,49,3,win
match_000051,matchup_0001,51,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,57,6,variable_2_4,1,63,1,variable_2_4,1,63,1,loss
match_000051,matchup_0001,51,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,63,1,fixed_2p,1,57,6,fixed_2p,1,57,6,win
match_000052,matchup_0001,52,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,67,0,fixed_2p,1,55,5,fixed_2p,1,55,5,win
match_000052,matchup_0001,52,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,55,5,variable_2_4,1,67,0,variable_2_4,1,67,0,loss
match_000053,matchup_0001,53,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,48,6,variable_2_4,1,50,1,variable_2_4,1,50,1,loss
match_000053,matchup_0001,53,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,50,1,fixed_2p,1,48,6,fixed_2p,1,48,6,win
match_000054,matchup_0001,54,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,56,4,variable_2_4,1,56,2,variable_2_4,1,56,2,win
match_000054,matchup_0001,54,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,56,2,fixed_2p,1,56,4,fixed_2p,1,56,4,loss
match_000055,matchup_0001,55,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,50,2,variable_2_4,1,55,2,variable_2_4,1,55,2,loss
match_000055,matchup_0001,55,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,55,2,fixed_2p,1,50,2,fixed_2p,1,50,2,win
match_000056,matchup_0001,56,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,63,3,variable_2_4,1,60,3,variable_2_4,1,60,3,win
match_000056,matchup_0001,56,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,60,3,fixed_2p,1,63,3,fixed_2p,1,63,3,loss
match_000057,matchup_0001,57,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,62,4,fixed_2p,1,59,3,fixed_2p,1,59,3,win
match_000057,matchup_0001,57,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,59,3,variable_2_4,1,62,4,variable_2_4,1,62,4,loss
match_000058,matchup_0001,58,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,50,1,fixed_2p,1,55,5,fixed_2p,1,55,5,loss
match_000058,matchup_0001,58,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,55,5,variable_2_4,1,50,1,variable_2_4,1,50,1,win
match_000059,matchup_0001,59,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,55,6,variable_2_4,1,56,1,variable_2_4,1,56,1,loss
match_000059,matchup_0001,59,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,56,1,fixed_2p,1,55,6,fixed_2p,1,55,6,win
match_000060,matchup_0001,60,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,0,54,3,variable_2_4,1,55,0,variable_2_4,1,55,0,loss
match_000060,matchup_0001,60,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,1,55,0,fixed_2p,1,54,3,fixed_2p,1,54,3,win
match_000061,matchup_0001,61,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,50,1,fixed_2p,1,50,5,fixed_2p,1,50,5,loss
match_000061,matchup_0001,61,fixed_2p,1,/SushiGo/results/2p_league/fixed_2p/repetition_1/model.pt,1,50,5,variable_2_4,1,50,1,variable_2_4,1,50,1,win
match_000062,matchup_0001,62,variable_2_4,1,/SushiGo/results/2p_league/variable_2_4/repetition_1/model.pt,0,59,3,fixed_2p,1,66,3,fixed_2p,1,66,3,loss
