iteration,elapsed_seconds,loss,epsilon,mean_turn_reward,mean_episode_return
0,9.476422805339098,0.046590786427259445,0.9996185302734375,0.13141445815563202,3.3916664123535156
1,10.564665982499719,0.04226277396082878,0.999237060546875,0.13080646097660065,3.4720001220703125
2,11.715004360303283,0.03715934604406357,0.9988555908203125,0.11891892552375793,3.1035711765289307
3,12.670338714495301,0.043712325394153595,0.99847412109375,0.13417086005210876,3.4304351806640625
4,13.928881397470832,0.04409068077802658,0.9980926513671875,0.12600001692771912,3.230769157409668
5,14.859046353958547,0.040222153067588806,0.997711181640625,0.12055215984582901,3.103703737258911
6,15.700053636915982,0.03555630147457123,0.9973297119140625,0.14352227747440338,3.6999998092651367
7,16.533406745642424,0.03904744237661362,0.9969482421875,0.13495495915412903,3.8947367668151855
8,17.475580994971097,0.03486533463001251,0.9965667724609375,0.1263551414012909,3.4200000762939453
9,18.47546276729554,0.03508399799466133,0.996185302734375,0.1312393844127655,3.690000057220459
10,19.52317242603749,0.03754248470067978,0.9958038330078125,0.12730376422405243,3.3434786796569824
11,20.766878915019333,0.03361441567540169,0.99542236328125,0.13226746022701263,3.289285659790039
12,22.025993546471,0.03290247917175293,0.9950408935546875,0.12141681462526321,2.880000114440918
13,22.97758913319558,0.037306223064661026,0.994659423828125,0.1289583295583725,3.8449997901916504
14,25.10367542039603,0.03279411047697067,0.9942779541015625,0.13460208475589752,3.559091091156006
15,26.802565230987966,0.036703333258628845,0.993896484375,0.12551181018352509,3.2800002098083496
16,28.297835981473327,0.03067007288336754,0.9935150146484375,0.12742681801319122,3.2719998359680176
17,29.26983449421823,0.027496684342622757,0.993133544921875,0.12560604512691498,3.32962965965271
18,30.141455163247883,0.03524317964911461,0.9927520751953125,0.1172468364238739,2.98888897895813
19,31.141624148003757,0.0382034108042717,0.99237060546875,0.12457043677568436,3.1440000534057617
20,32.211048217490315,0.031126001849770546,0.9919891357421875,0.13469751179218292,3.531818151473999
21,33.14360228460282,0.035161908715963364,0.991607666015625,0.13355371356010437,3.799999952316284
22,34.03361293952912,0.04043614864349365,0.9912261962890625,0.12382609397172928,3.32608699798584
23,35.01509446557611,0.033121269196271896,0.9908447265625,0.1298769861459732,3.372000217437744
