device=cuda  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 512, "buffer_size": 100000, "compile": false, "cuda": true, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 447, "mlp_depth": 2, "n_players": null, "reward_scale": 0.1, "save_path": "models/DQN/sushi_go_qnet_large_2-4_players.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 16, "use_encoder": false}
[92m2026-06-07 18:53:21,717 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-07 18:53:56,925 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter  52 | loss=0.0512 | eps=0.984 | mean turn reward=+0.132 | mean episode return/seat=+3.51
iter  53 | loss=0.0484 | eps=0.984 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter  54 | loss=0.0523 | eps=0.984 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter  55 | loss=0.0488 | eps=0.983 | mean turn reward=+0.129 | mean episode return/seat=+3.37
iter  56 | loss=0.0454 | eps=0.983 | mean turn reward=+0.132 | mean episode return/seat=+3.52
iter  57 | loss=0.0479 | eps=0.983 | mean turn reward=+0.131 | mean episode return/seat=+3.48
iter  58 | loss=0.0478 | eps=0.982 | mean turn reward=+0.129 | mean episode return/seat=+3.39
iter  59 | loss=0.0433 | eps=0.982 | mean turn reward=+0.129 | mean episode return/seat=+3.35
iter  60 | loss=0.0477 | eps=0.982 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter  61 | loss=0.0456 | eps=0.982 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter  62 | loss=0.0517 | eps=0.981 | mean turn reward=+0.132 | mean episode return/seat=+3.49
iter  63 | loss=0.0513 | eps=0.981 | mean turn reward=+0.131 | mean episode return/seat=+3.52
iter  64 | loss=0.0486 | eps=0.981 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter  65 | loss=0.0504 | eps=0.980 | mean turn reward=+0.130 | mean episode return/seat=+3.41
iter  66 | loss=0.0443 | eps=0.980 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter  67 | loss=0.0490 | eps=0.980 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter  68 | loss=0.0505 | eps=0.979 | mean turn reward=+0.128 | mean episode return/seat=+3.38
iter  69 | loss=0.0459 | eps=0.979 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter  70 | loss=0.0484 | eps=0.979 | mean turn reward=+0.127 | mean episode return/seat=+3.33
iter  71 | loss=0.0469 | eps=0.979 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter  72 | loss=0.0497 | eps=0.978 | mean turn reward=+0.129 | mean episode return/seat=+3.40
iter  73 | loss=0.0438 | eps=0.978 | mean turn reward=+0.126 | mean episode return/seat=+3.27
iter  74 | loss=0.0457 | eps=0.978 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter  75 | loss=0.0493 | eps=0.977 | mean turn reward=+0.129 | mean episode return/seat=+3.38
iter  76 | loss=0.0435 | eps=0.977 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter  77 | loss=0.0424 | eps=0.977 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter  78 | loss=0.0474 | eps=0.976 | mean turn reward=+0.132 | mean episode return/seat=+3.54
iter  79 | loss=0.0407 | eps=0.976 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter  80 | loss=0.0431 | eps=0.976 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter  81 | loss=0.0398 | eps=0.976 | mean turn reward=+0.135 | mean episode return/seat=+3.55
iter  82 | loss=0.0406 | eps=0.975 | mean turn reward=+0.128 | mean episode return/seat=+3.33
iter  83 | loss=0.0461 | eps=0.975 | mean turn reward=+0.128 | mean episode return/seat=+3.36
iter  84 | loss=0.0457 | eps=0.975 | mean turn reward=+0.131 | mean episode return/seat=+3.48
iter  85 | loss=0.0421 | eps=0.974 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter  86 | loss=0.0399 | eps=0.974 | mean turn reward=+0.128 | mean episode return/seat=+3.34
iter  87 | loss=0.0441 | eps=0.974 | mean turn reward=+0.131 | mean episode return/seat=+3.43
iter  88 | loss=0.0384 | eps=0.973 | mean turn reward=+0.130 | mean episode return/seat=+3.40
iter  89 | loss=0.0432 | eps=0.973 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter  90 | loss=0.0425 | eps=0.973 | mean turn reward=+0.133 | mean episode return/seat=+3.52
iter  91 | loss=0.0414 | eps=0.973 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter  92 | loss=0.0395 | eps=0.972 | mean turn reward=+0.129 | mean episode return/seat=+3.43
iter  93 | loss=0.0396 | eps=0.972 | mean turn reward=+0.130 | mean episode return/seat=+3.43
iter  94 | loss=0.0411 | eps=0.972 | mean turn reward=+0.129 | mean episode return/seat=+3.41
iter  95 | loss=0.0410 | eps=0.971 | mean turn reward=+0.130 | mean episode return/seat=+3.39
iter  96 | loss=0.0422 | eps=0.971 | mean turn reward=+0.133 | mean episode return/seat=+3.51
iter  97 | loss=0.0418 | eps=0.971 | mean turn reward=+0.128 | mean episode return/seat=+3.31
iter  98 | loss=0.0397 | eps=0.970 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter  99 | loss=0.0390 | eps=0.970 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 100 | loss=0.0387 | eps=0.970 | mean turn reward=+0.132 | mean episode return/seat=+3.46
iter 101 | loss=0.0437 | eps=0.970 | mean turn reward=+0.129 | mean episode return/seat=+3.41
