iteration,loss,epsilon,mean_turn_reward,mean_episode_return
0,0.07520347088575363,0.999701976776123,0.15237809717655182,4.590704917907715
1,0.0622943751513958,0.9994039535522461,0.1547362208366394,4.6255950927734375
2,0.049426618963479996,0.9991059303283691,0.1518784910440445,4.559821128845215
3,0.0495789498090744,0.9988079071044922,0.15217824280261993,4.575892925262451
4,0.050898630172014236,0.9985098838806152,0.15178856253623962,4.549404621124268
5,0.04239002615213394,0.9982118606567383,0.15449641644954681,4.613095760345459
6,0.03606286644935608,0.9979138374328613,0.15227818489074707,4.577975749969482
7,0.039255786687135696,0.9976158142089844,0.15089929103851318,4.532440662384033
8,0.03591008856892586,0.9973177909851074,0.15305756032466888,4.588095188140869
9,0.038733772933483124,0.9970197677612305,0.15293766558170319,4.586606979370117
10,0.037107303738594055,0.9967217445373535,0.1502997726202011,4.55544900894165
11,0.03266025707125664,0.9964237213134766,0.1501099169254303,4.471428394317627
12,0.03537699952721596,0.9961256980895996,0.15047961473464966,4.51904821395874
13,0.029078472405672073,0.9958276748657227,0.14927057921886444,4.47470235824585
14,0.031206471845507622,0.9955296516418457,0.1519884169101715,4.5625
15,0.03125213086605072,0.9952316284179688,0.15091927349567413,4.517261505126953
16,0.03228459134697914,0.9949336051940918,0.1508193463087082,4.525595664978027
17,0.0350952185690403,0.9946355819702148,0.1525779366493225,4.564880847930908
18,0.030574552714824677,0.9943375587463379,0.15208834409713745,4.566368579864502
19,0.03734514117240906,0.9940395355224609,0.15118905901908875,4.536904811859131
20,0.034954532980918884,0.993741512298584,0.15250800549983978,4.606410503387451
21,0.03535091131925583,0.993443489074707,0.1539568454027176,4.6026787757873535
22,0.02830689027905464,0.9931454658508301,0.1517985612154007,4.561309814453125
23,0.03296748548746109,0.9928474426269531,0.1533273309469223,4.596428871154785
24,0.035420797765254974,0.9925494194030762,0.15007992088794708,4.505059242248535
25,0.03294133022427559,0.9922513961791992,0.1517486274242401,4.532738208770752
26,0.036561720073223114,0.9919533729553223,0.15068945288658142,4.532738208770752
27,0.025421662256121635,0.9916553497314453,0.1508593112230301,4.516071319580078
28,0.027894407510757446,0.9913573265075684,0.1492106318473816,4.473214149475098
29,0.034157294780015945,0.9910593032836914,0.15177857875823975,4.556249618530273
30,0.029988804832100868,0.9907612800598145,0.15181854367256165,4.565704822540283
31,0.035647545009851456,0.9904632568359375,0.15229816734790802,4.557440280914307
32,0.03301204741001129,0.9901652336120605,0.1509692221879959,4.549404621124268
33,0.032336022704839706,0.9898672103881836,0.1514488309621811,4.546428203582764
34,0.033762019127607346,0.9895691871643066,0.15235811471939087,4.55654764175415
35,0.03945247828960419,0.9892711639404297,0.15082933008670807,4.535714149475098
36,0.04160865396261215,0.9889731407165527,0.15114907920360565,4.530059337615967
37,0.034427665174007416,0.9886751174926758,0.15207833051681519,4.547321319580078
38,0.04113790765404701,0.9883770942687988,0.15197841823101044,4.5630950927734375
39,0.037465550005435944,0.9880790710449219,0.15358713269233704,4.604464054107666
40,0.03273526951670647,0.9877810478210449,0.15201839804649353,4.567307472229004
41,0.037314463406801224,0.987483024597168,0.15205836296081543,4.579166889190674
42,0.03561050817370415,0.987185001373291,0.15298761427402496,4.55267858505249
43,0.028494926169514656,0.9868869781494141,0.15115907788276672,4.570535659790039
44,0.03139370307326317,0.9865889549255371,0.1526578664779663,4.566368579864502
45,0.044568270444869995,0.9862909317016602,0.15064947307109833,4.513988018035889
46,0.041042692959308624,0.9859929084777832,0.15160872042179108,4.561904430389404
47,0.03354061022400856,0.9856948852539062,0.1504996120929718,4.5008931159973145
48,0.035154182463884354,0.9853968620300293,0.15182854235172272,4.551190376281738
49,0.03230203688144684,0.9850988388061523,0.1525379866361618,4.577083110809326
50,0.039535775780677795,0.9848008155822754,0.15233813226222992,4.57564115524292
51,0.03924533352255821,0.9845027923583984,0.15233813226222992,4.582737445831299
52,0.03739602491259575,0.9842047691345215,0.15130893886089325,4.527678489685059
53,0.03801601007580757,0.9839067459106445,0.15129895508289337,4.555356979370117
54,0.035737838596105576,0.9836087226867676,0.15076936781406403,4.513988018035889
55,0.04040948301553726,0.9833106994628906,0.15241806209087372,4.564583778381348
56,0.035184722393751144,0.9830126762390137,0.15373700857162476,4.610416412353516
57,0.04151161387562752,0.9827146530151367,0.15241806209087372,4.5726189613342285
58,0.0444137379527092,0.9824166297912598,0.15303756296634674,4.590178489685059
59,0.03642603009939194,0.9821186065673828,0.15109913051128387,4.530653953552246
60,0.04427202790975571,0.9818205833435059,0.15101920068264008,4.537499904632568
61,0.040334898978471756,0.9815225601196289,0.15121902525424957,4.549107074737549
62,0.04137767478823662,0.981224536895752,0.15215827524662018,4.552976131439209
63,0.04943457990884781,0.980926513671875,0.1518385410308838,4.557440757751465
64,0.03496530279517174,0.980628490447998,0.15330736339092255,4.592559337615967
65,0.038172610104084015,0.9803304672241211,0.1526978462934494,4.58005952835083
66,0.03880849480628967,0.9800324440002441,0.1524180769920349,4.573511600494385
67,0.047622427344322205,0.9797344207763672,0.1506994366645813,4.530951976776123
68,0.04393817484378815,0.9794363975524902,0.15381695330142975,4.594344615936279
69,0.03891827166080475,0.9791383743286133,0.1508093625307083,4.529464244842529
70,0.039743442088365555,0.9788403511047363,0.14957034587860107,4.515063762664795
71,0.033628351986408234,0.9785423278808594,0.1525379866361618,4.553868770599365
72,0.04266931116580963,0.9782443046569824,0.15231816470623016,4.5702385902404785
73,0.04419979453086853,0.9779462814331055,0.15362709760665894,4.60148811340332
74,0.04096554219722748,0.9776482582092285,0.15251800417900085,4.577678680419922
