iteration,elapsed_seconds,loss,epsilon,mean_turn_reward,mean_episode_return
0,3.374615091001033,0.07069547474384308,0.999701976776123,0.1305830329656601,3.4327683448791504
1,4.56054641600349,0.05318741127848625,0.9994039535522461,0.12980172038078308,3.430434465408325
2,5.532973303998006,0.04337054863572121,0.9991059303283691,0.1261269748210907,3.288926601409912
3,6.503975387007813,0.05295872688293457,0.9988079071044922,0.12867744266986847,3.3944544792175293
4,7.5122449769987725,0.041804488748311996,0.9985098838806152,0.1292973905801773,3.4271738529205322
5,8.49527072600904,0.05031111091375351,0.9982118606567383,0.1268426477909088,3.3361852169036865
6,9.492998695001006,0.03905405104160309,0.9979138374328613,0.12880946695804596,3.373157501220703
7,10.473818712009233,0.04076569527387619,0.9976158142089844,0.12897668778896332,3.378417491912842
8,11.651041303004604,0.04426857456564903,0.9973177909851074,0.12985911965370178,3.4756007194519043
9,12.668404448006186,0.04141956940293312,0.9970197677612305,0.12902797758579254,3.427187919616699
10,13.670314547998714,0.036823805421590805,0.9967217445373535,0.13084398210048676,3.464406728744507
11,14.72745128700626,0.03521718457341194,0.9964237213134766,0.12910592555999756,3.425225257873535
12,15.72817867899721,0.04488823935389519,0.9961256980895996,0.13131974637508392,3.453930616378784
13,16.719005221995758,0.036849457770586014,0.9958276748657227,0.12700936198234558,3.364748001098633
14,17.85163511800056,0.03738567233085632,0.9955296516418457,0.12846626341342926,3.3758862018585205
15,18.90252342700842,0.03868022933602333,0.9952316284179688,0.1309356540441513,3.478651523590088
16,19.89778425100667,0.03571610897779465,0.9949336051940918,0.12917576730251312,3.4075675010681152
17,20.865162582005723,0.04071277379989624,0.9946355819702148,0.1313430666923523,3.488135814666748
18,21.83463717000268,0.04198865592479706,0.9943375587463379,0.12892721593379974,3.411454439163208
19,22.825603550008964,0.03054775856435299,0.9940395355224609,0.1296001672744751,3.425999641418457
20,23.900858180000796,0.03482406958937645,0.993741512298584,0.12731072306632996,3.3171873092651367
21,25.017916607001098,0.039897605776786804,0.993443489074707,0.1277916580438614,3.3661820888519287
22,25.98721182400186,0.04242333397269249,0.9931454658508301,0.12843216955661774,3.3676624298095703
23,27.01611423700524,0.038886502385139465,0.9928474426269531,0.12865783274173737,3.386749029159546
24,27.99573398299981,0.03745800629258156,0.9925494194030762,0.1294974982738495,3.389774799346924
25,28.94676736200927,0.04147025942802429,0.9922513961791992,0.1304386407136917,3.4243242740631104
26,29.92271299600543,0.038598235696554184,0.9919533729553223,0.12930595874786377,3.375000238418579
27,31.02264516899595,0.03555688261985779,0.9916553497314453,0.12775450944900513,3.388949394226074
28,32.06520577099582,0.03579072654247284,0.9913573265075684,0.12848636507987976,3.3751332759857178
29,33.03108371900453,0.04189061373472214,0.9910593032836914,0.1280992329120636,3.334411859512329
30,33.99611867700878,0.04104805737733841,0.9907612800598145,0.12731291353702545,3.307044506072998
31,34.94809510699997,0.033598605543375015,0.9904632568359375,0.13364891707897186,3.5702290534973145
32,35.940946764996625,0.038347817957401276,0.9901652336120605,0.1287991851568222,3.3758866786956787
33,37.019868750998285,0.03832472488284111,0.9898672103881836,0.12775886058807373,3.3744184970855713
34,38.1282078410004,0.04195845127105713,0.9895691871643066,0.12889458239078522,3.4314815998077393
35,39.08532967600331,0.036051806062459946,0.9892711639404297,0.13154859840869904,3.426760673522949
36,40.077287328997045,0.042194150388240814,0.9889731407165527,0.13051217794418335,3.4336977005004883
