match_id,matchup_id,game_number,competitor,repetition,checkpoint_path,seat,points,pudding,opponent_competitor,opponent_repetition,opponent_points,opponent_pudding,opponent_competitors,opponent_repetitions,opponent_points_all,opponent_puddings,outcome
match_000014,matchup_0001,14,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,52,0,fixed_2p,1,57,3,fixed_2p,1,57,3,loss
match_000015,matchup_0001,15,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,64,4,variable_2_4,1,60,2,variable_2_4,1,60,2,win
match_000015,matchup_0001,15,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,60,2,fixed_2p,1,64,4,fixed_2p,1,64,4,loss
match_000016,matchup_0001,16,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,51,4,variable_2_4,1,51,3,variable_2_4,1,51,3,win
match_000016,matchup_0001,16,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,51,3,fixed_2p,1,51,4,fixed_2p,1,51,4,loss
match_000017,matchup_0001,17,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,59,2,variable_2_4,1,63,3,variable_2_4,1,63,3,loss
match_000017,matchup_0001,17,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,63,3,fixed_2p,1,59,2,fixed_2p,1,59,2,win
match_000018,matchup_0001,18,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,50,3,fixed_2p,1,66,4,fixed_2p,1,66,4,loss
match_000018,matchup_0001,18,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,66,4,variable_2_4,1,50,3,variable_2_4,1,50,3,win
match_000019,matchup_0001,19,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,49,3,fixed_2p,1,44,5,fixed_2p,1,44,5,win
match_000019,matchup_0001,19,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,44,5,variable_2_4,1,49,3,variable_2_4,1,49,3,loss
match_000020,matchup_0001,20,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,47,3,fixed_2p,1,49,4,fixed_2p,1,49,4,loss
match_000020,matchup_0001,20,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,49,4,variable_2_4,1,47,3,variable_2_4,1,47,3,win
match_000021,matchup_0001,21,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,55,3,variable_2_4,1,61,2,variable_2_4,1,61,2,loss
match_000021,matchup_0001,21,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,61,2,fixed_2p,1,55,3,fixed_2p,1,55,3,win
match_000022,matchup_0001,22,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,62,3,variable_2_4,1,56,3,variable_2_4,1,56,3,win
match_000022,matchup_0001,22,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,56,3,fixed_2p,1,62,3,fixed_2p,1,62,3,loss
match_000023,matchup_0001,23,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,45,5,variable_2_4,1,48,2,variable_2_4,1,48,2,loss
match_000023,matchup_0001,23,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,48,2,fixed_2p,1,45,5,fixed_2p,1,45,5,win
match_000024,matchup_0001,24,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,57,2,fixed_2p,1,62,6,fixed_2p,1,62,6,loss
match_000024,matchup_0001,24,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,62,6,variable_2_4,1,57,2,variable_2_4,1,57,2,win
match_000025,matchup_0001,25,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,54,2,fixed_2p,1,53,3,fixed_2p,1,53,3,win
match_000025,matchup_0001,25,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,53,3,variable_2_4,1,54,2,variable_2_4,1,54,2,loss
match_000026,matchup_0001,26,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,64,0,fixed_2p,1,67,3,fixed_2p,1,67,3,loss
match_000026,matchup_0001,26,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,67,3,variable_2_4,1,64,0,variable_2_4,1,64,0,win
match_000027,matchup_0001,27,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,43,3,fixed_2p,1,50,5,fixed_2p,1,50,5,loss
match_000027,matchup_0001,27,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,50,5,variable_2_4,1,43,3,variable_2_4,1,43,3,win
match_000028,matchup_0001,28,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,53,3,fixed_2p,1,66,2,fixed_2p,1,66,2,loss
match_000028,matchup_0001,28,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,66,2,variable_2_4,1,53,3,variable_2_4,1,53,3,win
match_000029,matchup_0001,29,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,0,69,3,fixed_2p,1,67,3,fixed_2p,1,67,3,win
match_000029,matchup_0001,29,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,1,67,3,variable_2_4,1,69,3,variable_2_4,1,69,3,loss
match_000030,matchup_0001,30,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,50,3,variable_2_4,1,49,0,variable_2_4,1,49,0,win
match_000030,matchup_0001,30,variable_2_4,1,/home/thlamz/SushiGo_MARL/results/league/variable_2_4/repetition_1/model.pt,1,49,0,fixed_2p,1,50,3,fixed_2p,1,50,3,loss
match_000031,matchup_0001,31,fixed_2p,1,/home/thlamz/SushiGo_MARL/results/league/fixed_2p/repetition_1/model.pt,0,52,6,variable_2_4,1,53,0,variable_2_4,1,53,0,loss
