iteration,elapsed_seconds,loss,epsilon,mean_turn_reward,mean_episode_return
0,3.077180224994663,0.07638579607009888,0.999701976776123,0.15176859498023987,4.568910598754883
1,4.1182082559971604,0.05634268745779991,0.9994039535522461,0.15114907920360565,4.532142639160156
2,5.008539161994122,0.040137626230716705,0.9991059303283691,0.1501898318529129,4.52142858505249
3,5.873297598998761,0.048457127064466476,0.9988079071044922,0.15200841426849365,4.538393020629883
4,6.763725518016145,0.036730457097291946,0.9985098838806152,0.1522282063961029,4.564881324768066
5,7.646002148016123,0.03741694241762161,0.9982118606567383,0.1519984006881714,4.557142734527588
6,8.71446469600778,0.041057288646698,0.9979138374328613,0.15185850858688354,4.562201976776123
7,9.588357291009743,0.038986701518297195,0.9976158142089844,0.14961031079292297,4.482439994812012
8,10.45954398700269,0.029551178216934204,0.9973177909851074,0.15357713401317596,4.6026787757873535
9,11.325590696011204,0.03068798966705799,0.9970197677612305,0.15068945288658142,4.523809909820557
10,12.195407051010989,0.03458471596240997,0.9967217445373535,0.14989008009433746,4.516345977783203
11,13.079713225015439,0.03288136050105095,0.9964237213134766,0.15086929500102997,4.522916316986084
12,14.093606041016756,0.034613873809576035,0.9961256980895996,0.15000998973846436,4.50982141494751
13,14.968159350013593,0.027103280648589134,0.9958276748657227,0.15105916559696198,4.515178680419922
14,15.836747843015473,0.03244578838348389,0.9955296516418457,0.15272781252861023,4.583035469055176
15,16.72074855599203,0.028039447963237762,0.9952316284179688,0.15291766822338104,4.5726189613342285
16,17.73749190600938,0.03204040974378586,0.9949336051940918,0.15196843445301056,4.567559242248535
17,18.738909280014923,0.02290240488946438,0.9946355819702148,0.1528976857662201,4.580357074737549
18,19.604111319000367,0.0276794396340847,0.9943375587463379,0.152348130941391,4.56845235824585
19,20.498163501004456,0.028486343100667,0.9940395355224609,0.1533673256635666,4.6026787757873535
20,21.35977563401684,0.02795594558119774,0.993741512298584,0.1500699520111084,4.519230365753174
21,22.235397412994644,0.03557351604104042,0.993443489074707,0.15134893357753754,4.5497026443481445
22,23.240135714004282,0.027766495943069458,0.9931454658508301,0.15335731208324432,4.576488018035889
23,24.138743549003266,0.03301549702882767,0.9928474426269531,0.1526578813791275,4.59970235824585
24,25.038141749013448,0.030771775171160698,0.9925494194030762,0.15294764935970306,4.576488018035889
25,25.93489316100022,0.032457269728183746,0.9922513961791992,0.1519584208726883,4.549404621124268
26,26.947103960992536,0.0369550921022892,0.9919533729553223,0.15308751165866852,4.602083206176758
27,27.928589100018144,0.035486817359924316,0.9916553497314453,0.15431655943393707,4.619643211364746
28,28.810997071006568,0.03352760523557663,0.9913573265075684,0.15270784497261047,4.5741071701049805
29,29.673606230993755,0.029482299461960793,0.9910593032836914,0.1519184559583664,4.560416221618652
30,30.556477002013708,0.03480999916791916,0.9907612800598145,0.15219822525978088,4.585896968841553
31,31.440702758001862,0.03470725938677788,0.9904632568359375,0.15248799324035645,4.5535712242126465
32,32.443980645010015,0.032343942672014236,0.9901652336120605,0.1509392410516739,4.555059432983398
33,33.326397296012146,0.03876771777868271,0.9898672103881836,0.15256793797016144,4.559523582458496
34,34.212364762992365,0.03493013605475426,0.9895691871643066,0.1524180769920349,4.580060005187988
35,35.08984560001409,0.032386355102062225,0.9892711639404297,0.15156874060630798,4.549107074737549
36,36.072163388016634,0.038295380771160126,0.9889731407165527,0.15244804322719574,4.56398868560791
37,37.091321857995354,0.03409386798739433,0.9886751174926758,0.1525479555130005,4.570237636566162
